"key","value","tolerance"
"cohort_analysed",30906,0
"cohort_onset",21637,0
"cohort_progression",6945,0
"cohort_advanced",2324,0
"excluded_prosthesis",439,0
"excluded_rheumatic",147,0
"eligible",31492,0
"events_onset_first",1039,0
"events_onset_confirmed",250,0
"events_progression_first",1606,0
"events_progression_confirmed",528,0
"stricter_cohort_n",9334,0
"stricter_events_first",374,0
"hr_age_onset_first",1.43322636532625,0.005
"hr_age_progression_first",1.26282421428652,0.005
"hr_male_onset_first",0.670827022549013,0.005
"hr_avsev_onset_first",9.17487131287705,0.005
"hr_avsev_progression_first",3.02549551300036,0.005
"hr_avsev_onset_confirmed",14.4801039004622,0.005
"hr_zE_onset_first",1.36843866241072,0.005
"hr_eglt30_onset_first",2.10791689138996,0.005
"hr_esrd_onset_first",2.60307885871258,0.005
"hr_eflt40_onset_confirmed",0.440457829691373,0.005
"ratio_age",0.887117552321357,0.005
"ratio_av_per_grade",0.748437780086232,0.005
"ratio_eg30to60",0.794381038343961,0.005
"ratio_zE",0.914184885923143,0.005
"ratio_zbmi",0.979757912510724,0.005
"hmm_n_pt",30906,0
"hmm_mild_reported_none",0.351859294118893,0.005
"hmm_moderate_reported_modplus",0.656567914116106,0.05
"hmm_none_reported_none",0.904190274752433,0.005
"hmm_ppv_modplus",0.830009458660482,0.005
"hmm_latent_mild_given_blank",0.107207168842297,0.005
"hmm_free_given_mild",0.30356851089282,0.005
"hmm_sojourn_none_years",12.3143844386682,0.05
"fate_onset_confirmed_pct",20.5967276227141,0.05
"fate_onset_refuted_pct",33.9749759384023,0.05
"fate_onset_never_pct",45.4282964388835,0.05
"fate_progression_confirmed_pct",28.8916562889166,0.05
"fate_progression_never_pct",43.2752179327522,0.05
"transition_none_to_none_pct",80.9,0.05
"transition_mild_to_none_pct",43.9,0.05
"repeat_modplus_next_modplus_pct",81.9477434679335,0.05
"stenosis_rate_none",0.430181830110968,0.05
"stenosis_rate_mild",0.937363724673464,0.05
"stenosis_rate_modsev",5.72261095155047,0.05
"stenosis_atrisk_none",21560,0
"stenosis_atrisk_mild",6922,0
"stenosis_atrisk_modsev",2046,0
"stenosis_tvc_hr_mi",5.14982659462546,0.005
"internal_check_hr",1.86252887305597,0.005
"interv_modplus",4969,0
"interv_dysfunction",2148,0
"interv_analysed",2098,0
"interv_n",129,0
"interv_died",996,0
"interv_median_days",166,0
"interv_hr_age_mi",0.582687337878596,0.005
"interv_surv_hr_mi",1.39542181541282,0.005
"interv_cif_5y_pct",7.79636855058008,0.05
"interv_dysfunction_same_episode",1237,0
"cloglog_age_onset_first",1.44135432629052,0.005
"landmark_age_onset_first",1.41973478161032,0.005
"finegray_age_onset_first",1.34854102072998,0.005
"source_adults",85286,0
"single_episode",53794,0
"rheum_post_flagged",56,0
"hmm_minus2LL",225340.414757434,0.5
"confirmed_def_modplus",3102,0
"confirmed_def_interv",98,0
